City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Deputatskiy,RU,69.3,139.9,-34.37,84,1,1.7,clear sky
327,Leningradskiy,RU,69.3833,178.4167,-10.25,74,21,5.55,few clouds
328,Liverpool,GB,53.4106,-2.9779,37.4,87,75,19.57,broken clouds
329,Port Lincoln,AU,-34.7333,135.8667,62.33,67,88,11.16,overcast clouds
330,Brae,GB,60.3964,-1.353,33.8,60,90,16.11,light snow
331,Khatanga,RU,71.9667,102.5,-35.75,78,0,8.12,clear sky
332,Cidreira,BR,-30.1811,-50.2056,69.48,75,28,3.8,scattered clouds
333,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.39,82,52,9.55,broken clouds
334,Amudat,UG,1.95,34.95,67.5,58,43,2.71,scattered clouds
335,Mercaderes,CO,1.8009,-77.166,68.79,87,98,2.73,overcast clouds
336,Tautira,PF,-17.7333,-149.15,84.2,61,20,12.66,moderate rain
337,Roma,US,43.2128,-75.4557,24.8,46,1,6.91,clear sky
338,Iranshahr,IR,27.2025,60.6848,52.38,43,0,0.69,clear sky
339,La Tuque,CA,47.4334,-72.7824,19.4,68,99,6.91,overcast clouds
340,Azovskaya,RU,44.7908,38.6264,27.0,81,100,5.97,snow
341,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.4,100,90,16.11,light snow
342,Balestrand,NO,61.2076,6.5334,6.01,83,0,1.01,clear sky
343,Agnibilekrou,CI,7.1344,-3.2047,76.14,86,66,5.97,broken clouds
344,Codajas,BR,-3.8367,-62.0569,75.96,97,100,0.63,moderate rain
345,San Cristobal,VE,7.7669,-72.225,84.2,61,40,6.91,scattered clouds
346,Kungurtug,RU,50.5994,97.5228,-0.44,85,26,2.13,scattered clouds
347,Carbonia,IT,39.1672,8.5222,63.0,72,20,14.97,few clouds
