City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
580,Katherine,AU,77.0,light rain,-14.4667,132.2667,Pine Tree Motel
582,Kota Kinabalu,MY,77.0,few clouds,5.9749,116.0724,Gaya Centre Hotel
585,Iquitos,PE,78.8,scattered clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
586,Salinopolis,BR,79.0,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
587,Mogadishu,SO,75.67,clear sky,2.0371,45.3438,Hotel Juba
588,Kandrian,PG,86.85,scattered clouds,-6.2167,149.55,Kandrian Station
594,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
599,Morant Bay,JM,82.4,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
600,Inirida,CO,76.08,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
604,Yulara,AU,78.8,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
608,Bathsheba,BB,77.0,few clouds,13.2167,-59.5167,Atlantis Hotel
615,Lazaro Cardenas,MX,79.16,clear sky,17.9583,-102.2,Collection O Hotel Quinta Antigua
617,Corumba,BR,75.47,clear sky,-19.0092,-57.6533,Hotel Laura Vicunha
630,Sahuaripa,MX,76.87,clear sky,29.05,-109.2333,Hotel El Molino
633,La Lima,HN,89.6,clear sky,15.4333,-87.9167,Tres Banderas Lodging
634,Popondetta,PG,89.33,broken clouds,-8.7537,148.2534,Timos Transit House
635,Puerto Leguizamo,CO,75.24,heavy intensity rain,-0.1934,-74.7819,la casona de juancho
638,Bodden Town,KY,82.4,few clouds,19.2833,-81.25,Will T Place
644,Lae,PG,82.4,scattered clouds,-6.7221,146.9847,Phils Hotel
647,Waingapu,ID,81.32,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
648,Camocim,BR,79.88,scattered clouds,-2.9022,-40.8411,Hotel Ilha do Amor
651,Atambua,ID,78.58,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
652,Honiara,SB,78.66,moderate rain,-9.4333,159.95,Heritage Park Hotel
654,Flinders,AU,78.01,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
658,Ulladulla,AU,75.99,scattered clouds,-35.35,150.4667,Sandpiper Motel
